,FIPS,AVG Jan Temp,AVG Feb Temp,AVG Mar Temp,AVG Apr Temp,AVG May Temp,AVG June Temp,AVG July Temp,AVG Aug Temp,AVG Sept Temp,AVG Oct Temp,AVG Nov Temp,AVG Dec Temp,AVG Jan GHI,AVG Feb GHI,AVG Mar GHI,AVG Apr GHI,AVG May GHI,AVG June GHI,AVG July GHI,AVG Aug GHI,AVG Sept GHI,AVG Oct GHI,AVG Nov GHI,AVG Dec GHI,Total Solar Capacity MW-AC
0,01001,47.31,53.27,59.57,64.39,72.52,79.09,81.92,81.32,77.34,67.08,55.59,51.22,118.9753587,149.1249199,194.991396,240.8554983,273.851327,277.4777299,266.5860848,247.3798612,213.8126931,180.8441418,135.8206409,104.1150676,0.0
1,01003,52.09,57.18,63.42,67.1,74.53,80.42,82.49,82.08,78.73,70.26,60.1,56.29,126.7236427,157.4611663,205.8128159,248.3857991,279.0124835,274.2870714,257.3583234,241.3459648,215.9235748,190.9727773,146.78323,114.7850425,0.0
2,01005,48.59,54.62,60.56,64.78,72.5,78.73,81.24,80.64,76.81,67.74,56.83,52.21,123.465697,155.0743268,201.3274523,246.4856842,279.9433038,276.7635576,267.4659661,247.3353122,213.018245,182.8105799,141.1106647,108.8366975,0.0
3,01007,45.36,50.83,57.46,62.56,70.88,77.47,80.63,79.87,75.76,65.59,54.1,,114.9669653,144.0817888,190.1292496,236.8880872,269.9243704,278.7953485,266.2031558,247.9764288,213.564001,177.7773012,131.9410405,101.1826138,0.0
4,01009,43.48,48.8,55.48,61.42,69.97,76.84,80.0,78.84,74.6,64.43,52.62,48.04,108.9495103,136.9932216,183.7977269,234.998329,263.7909481,277.4689305,266.1063907,247.6835979,212.4687631,173.1212029,127.5482394,96.48303641,0.0
5,01011,47.98,54.2,60.11,64.44,72.17,78.53,81.16,80.59,76.63,67.19,56.29,51.78,122.2008791,153.3998424,200.2425404,245.5303976,277.9658107,278.3420995,269.5873532,248.805541,213.6937514,182.3347873,139.3254409,107.4664658,0.0
6,01013,49.0,54.54,61.2,64.73,72.52,78.89,81.48,80.9,76.96,67.69,56.58,52.77,122.1645179,153.3666159,201.5582012,244.3230862,276.5270738,277.555115,266.1674783,247.9663955,214.809463,185.1190643,140.4707553,108.8874603,0.0
7,01015,44.46,49.51,56.11,61.68,69.94,76.7,80.09,79.22,74.58,64.6,53.21,48.57,112.1018102,139.3216185,185.5678186,236.2992461,264.8292482,275.7837062,264.1576752,246.7339819,209.1591761,173.6685171,128.9375313,96.48495208,7.4
8,01017,44.91,50.66,56.44,61.43,69.56,76.54,79.87,79.02,74.23,64.18,53.39,48.76,118.4324059,148.3250051,192.7261387,240.9303678,272.5207013,278.1316337,268.5346452,247.5214451,210.5925924,177.9271513,134.0541302,103.7633261,79.2
9,01019,43.36,48.36,55.13,61.08,69.7,76.43,79.6,78.67,73.97,63.83,52.4,47.5,108.796261,136.6065361,182.2237423,233.5812155,263.9121917,276.8936828,263.9012171,245.8197028,209.0961067,170.9334648,125.7043269,93.8182652,0.0
10,01021,45.71,51.5,57.73,62.47,70.79,77.33,80.39,79.91,75.69,65.41,54.29,49.63,117.2654834,146.4702801,192.693182,239.2396555,271.9325058,278.4674844,266.9142799,248.0911664,212.879569,178.7136464,133.4625354,101.836815,0.0
11,01023,48.3,53.59,60.36,64.63,72.62,79.27,81.97,81.31,77.3,67.31,56.03,52.26,118.915994,149.53221,195.0777207,240.6176016,272.8314369,279.7835994,266.4165119,249.6896521,218.4516626,183.4946091,137.6116452,107.7756543,0.0
12,01025,49.3,54.38,61.27,65.13,72.79,79.02,81.76,81.43,77.38,67.72,57.08,53.09,121.1032691,152.1681321,198.5781278,243.6766633,274.2779854,277.753431,264.6024327,248.3792124,217.4004846,185.9205161,140.5936181,109.9050224,0.0
13,01027,44.09,49.48,55.84,60.89,69.08,75.64,79.0,78.1,73.58,63.88,52.67,48.2,115.0299142,143.5900051,188.9233324,238.2900036,268.3142157,276.1865069,263.9783227,246.3339547,209.2391996,176.2781326,131.715836,99.65326842,0.0
14,01029,43.88,49.06,55.47,60.86,68.93,75.54,78.86,78.06,73.29,63.62,52.39,48.11,113.0109377,140.331669,185.6153494,236.5091992,265.7369308,275.8953861,263.8949316,246.298853,207.9369249,173.2825326,128.9046198,97.15548588,0.0
15,01031,49.3,55.2,61.7,65.41,73.41,79.52,81.51,81.27,77.47,68.62,57.73,53.32,125.3840291,156.9666943,204.9611756,248.439751,279.9059606,276.081695,266.4159402,247.2485996,215.2376818,186.4378197,143.5470883,111.7372439,0.0
16,01033,42.14,46.51,54.19,60.31,69.19,76.58,80.14,78.37,73.62,63.24,51.24,46.63,103.8474084,131.7899289,178.376198,231.2572883,262.3339776,282.3677868,269.4308712,248.6257737,213.9144499,168.1258069,123.0344552,90.93887406,227.0
17,01035,50.1,55.51,62.0,65.42,72.92,79.21,81.64,81.26,77.2,68.29,57.63,53.89,123.3379325,153.9590614,202.8718733,244.6098643,275.4088315,274.6639229,262.6044324,246.016755,215.8887403,186.4274874,141.9944604,110.5536343,0.0
18,01037,45.32,51.06,57.28,62.2,70.5,77.1,80.23,79.52,75.27,65.18,53.86,49.23,116.9216711,145.7709804,191.8512481,238.7427458,271.1073026,278.3556449,266.388206,247.6144534,212.2898515,178.4975779,133.1748328,101.3895154,0.0
