FIPS,AVG Jan,AVG Feb,AVG Mar,AVG Apr,AVG May,AVG June,AVG July,AVG August,AVG September,AVG October,AVG November,AVG December
1001,47.31,53.27,59.57,64.39,72.52,79.09,81.92,81.32,77.34,67.08,55.59,51.22
1003,52.09,57.18,63.42,67.1,74.53,80.42,82.49,82.08,78.73,70.26,60.1,56.29
1005,48.59,54.62,60.56,64.78,72.5,78.73,81.24,80.64,76.81,67.74,56.83,52.21
1007,45.36,50.83,57.46,62.56,70.88,77.47,80.63,79.87,75.76,65.59,54.1,
1009,43.48,48.8,55.48,61.42,69.97,76.84,80,78.84,74.6,64.43,52.62,48.04
1011,47.98,54.2,60.11,64.44,72.17,78.53,81.16,80.59,76.63,67.19,56.29,51.78
1013,49,54.54,61.2,64.73,72.52,78.89,81.48,80.9,76.96,67.69,56.58,52.77
1015,44.46,49.51,56.11,61.68,69.94,76.7,80.09,79.22,74.58,64.6,53.21,48.57
1017,44.91,50.66,56.44,61.43,69.56,76.54,79.87,79.02,74.23,64.18,53.39,48.76
1019,43.36,48.36,55.13,61.08,69.7,76.43,79.6,78.67,73.97,63.83,52.4,47.5
1021,45.71,51.5,57.73,62.47,70.79,77.33,80.39,79.91,75.69,65.41,54.29,49.63
1023,48.3,53.59,60.36,64.63,72.62,79.27,81.97,81.31,77.3,67.31,56.03,52.26
1025,49.3,54.38,61.27,65.13,72.79,79.02,81.76,81.43,77.38,67.72,57.08,53.09
1027,44.09,49.48,55.84,60.89,69.08,75.64,79,78.1,73.58,63.88,52.67,48.2
1029,43.88,49.06,55.47,60.86,68.93,75.54,78.86,78.06,73.29,63.62,52.39,48.11
1031,49.3,55.2,61.7,65.41,73.41,79.52,81.51,81.27,77.47,68.62,57.73,53.32
1033,42.14,46.51,54.19,60.31,69.19,76.58,80.14,78.37,73.62,63.24,51.24,46.63
1035,50.1,55.51,62,65.42,72.92,79.21,81.64,81.26,77.2,68.29,57.63,53.89
1037,45.32,51.06,57.28,62.2,70.5,77.1,80.23,79.52,75.27,65.18,53.86,49.23
1039,49.84,55.49,61.82,65.52,73.21,79.49,81.66,81.33,77.48,68.54,57.87,53.84
1041,48.42,54.33,60.78,64.56,72.51,78.77,81.04,80.6,76.73,67.59,56.43,52.36
1043,42.68,47.89,54.69,60.86,69.37,76.5,79.62,78.48,74.2,63.87,51.88,47.5
1045,49.62,55.6,61.83,65.79,73.67,79.61,81.72,81.33,77.52,68.88,58.06,53.51
1047,47.68,53.23,60.03,64.63,72.81,79.37,82.32,81.58,77.73,67.53,55.93,51.68
1049,41.74,46.59,53.58,59.41,67.99,74.51,77.63,76.52,72.08,62.34,51.34,46.04
1051,47.21,53.3,59.28,64.14,72.26,78.86,81.73,81.03,77.01,66.81,55.5,51.04
1053,50.79,56.19,62.49,65.99,73.48,79.59,81.82,81.54,77.71,68.96,58.51,54.82
1055,43.78,48.49,55.48,61.43,69.94,76.74,80,78.9,74.44,64.41,53.02,47.94
1057,44.29,49.01,56.43,62.03,70.5,77.46,80.8,79.77,75.26,64.99,53.09,48.7
1059,41.99,46.54,54.24,60.24,68.84,76.13,79.53,78.08,73.24,63.04,51.3,46.68
1061,50.19,56.02,62.38,66.24,74.07,80.02,82.01,81.76,78.03,69.22,58.61,54.43
1063,46.08,51.01,58.38,63.26,71.76,78.72,81.68,80.94,76.86,66.36,54.63,50.09
1065,46.04,51.17,58.29,63.27,71.69,78.46,81.44,80.63,76.61,66.4,54.68,50.02
1067,49.77,55.74,61.88,65.97,73.54,79.49,81.78,81.21,77.61,68.96,58.23,53.54
1069,50.82,56.72,62.77,66.82,74.38,80.23,82.29,81.8,78.12,69.69,59.36,54.91
1071,41.5,46.07,53.4,59.54,68.39,75.04,78.42,77.14,72.54,62.56,51.22,45.88
1073,44.64,49.99,56.7,62.27,70.78,77.47,80.76,79.77,75.59,65.26,53.43,49.04
1075,44.28,49.03,56.73,62.09,70.9,77.91,81.26,80.07,75.62,65.11,52.96,48.64
1077,41.7,45.9,53.6,59.76,68.67,76.16,79.82,77.94,73.29,62.82,50.76,46.07
1079,41.84,46.24,53.69,59.78,68.67,75.96,79.47,77.92,73.27,62.77,50.93,46.44
1081,46.3,52.1,57.96,62.73,70.7,77.31,80.42,79.59,75.22,65.32,54.73,50.08
